original_name,canonical_name,canonical_id
Ali EBRAHIMNEJAD,Ali EBRAHIMNEJAD,238
Homayun MOTAMENI,Homayun MOTAMENI,239
Xiaoxue Wu,Xiaoxue Wu,240
Wei Zheng,Wei Zheng,241
Minchao Pu,Minchao Pu,242
Jie Chen,Jie Chen,243
Dejun Mu,Dejun Mu,244
Gregory Levitin,Gregory Levitin,245
Liudong Xing,Liudong Xing,246
Yanping Xiang,Yanping Xiang,247
"Tianjin Key Laboratory for Advanced Signal Processing, Civil Aviation University of China, Tianjin 300300, China","Tianjin Key Laboratory for Advanced Signal Processing, Civil Aviation University of China, Tianjin 300300, China",248
Yun-Fei Jia,Yun-Fei Jia,249
Yunfei JIA,Yun-Fei Jia,249
Yongquan Yan,Yongquan Yan,250
Jingwei Li,Jingwei Li,251
Yong Qi,Yong Qi,252
Guanghua Wang,Guanghua Wang,253
Jinwei Lin,Jinwei Lin,254
Shuguang Wang,Shuguang Wang,255
Minyan Lu,Minyan Lu,256
Shiyi Kong,Shiyi Kong,257
Antonio Ken Iannillo,Antonio Ken Iannillo,258
Jing Yue,Jing Yue,259
Xiaojun Wu,Xiaojun Wu,260
Yunqing Xue,Yunqing Xue,261
Minghao Tang,Minghao Tang,262
Peng Zhang,Peng Zhang,263
Haoqi Sun,Haoqi Sun,264
Lei Zhang,Lei Zhang,265
Luan Lins,Luan Lins,266
Andre Rodrigues,Andre Rodrigues,267
Aye Myat Myat Paing,Aye Myat Myat Paing,268
Sihang Wang,Sihang Wang,269
Qinchen Liu,Qinchen Liu,270
Jian Wang,Jian Wang,271
Zeming Hao,Zeming Hao,272
Caisheng Weng,Caisheng Weng,273
Artur Andrzejak,Artur Andrzejak,274
Shengwu Xiong,Shengwu Xiong,275
L. Li,Lingling Li,276
Lin Li,Lingling Li,276
Lingling Li,Lingling Li,276
Liang Luo,Liang Luo,277
Chinmay Hota,Chinmay Hota,278
Lalita Bhanu Murthy Neti,Lalita Bhanu Murthy Neti,279
Yu Qiao,Yu Qiao,280
Yunyu Fang,Yunyu Fang,281
K-Y Cai,Kai-Yuan Cai,282
Kai-Yuan Cai,Kai-Yuan Cai,282
Kaiyuan Cai,Kai-Yuan Cai,282
Lingze Meng,Lingze Meng,283
Neelamadhab Padhy,Neelamadhab Padhy,284
Rasmita Panigrahi,Rasmita Panigrahi,285
K. Neeraja,K. Neeraja,286
Richa Sharma,Richa Sharma,287
Gireesh Kumar,Gireesh Kumar,288
Erico Guedes,Erico Guedes,289
Yan Wang,Yan-Bin Wang,290
Yan-Bin Wang,Yan-Bin Wang,290
Yanbin Wang,Yan-Bin Wang,290
Thet Thet Win,Thet Thet Win,291
Shubham Sharma,Shubham Sharma,292
Sandeep Kumar,Sandeep Kumar,293
Ashish Sureka,Ashish Sureka,294
I M Umesh,I. M. Umesh,295
I. M. Umesh,I. M. Umesh,295
Ping Guo,Ping Guo,296
Bin Cheng,Bin Cheng,297
Zhigao Zheng,Zhigao Zheng,298
Massimo Ficco,Massimo Ficco,299
Shouyu Huo,Shouyu Huo,300
Xing Liu,Xing Liu,301
Yi Zhong,Yingshou Zhong,302
Yingshou Zhong,Yingshou Zhong,302
Haiguo Yu,Haiguo Yu,303
Lin Cai,Lin Cai,304
Nuno Preguica,Nuno Preguica,305
Naoto Miyoshi,Naoto Miyoshi,306
Koichiro Rinsaka,Koichiro Rinsaka,307
G N Srinivasan,G N Srinivasan,308
Kumiko Tadano,Kumiko Tadano,309
Yoshiharu Maeno,Yoshiharu Maeno,310
Xiayu Hua,Xiayu Hua,311
Chunhui Guo,Chunhui Guo,312
Hao Wu,Hao Wu,313
Douglas Lautner,Douglas Lautner,314
Shangping Ren,Shangping Ren,315
Jean Rahme,Jean Rahme,316
Haiping Xu,Haiping Xu,317
Harish Sukhwani,Harish Sukhwani,318
"Jr., Rivalino Matias","Jr., Rivalino Matias",319
R. Matias,"Jr., Rivalino Matias",319
Rivalino Matias,"Jr., Rivalino Matias",319
Rivalino Matias Jr.,"Jr., Rivalino Matias",319
Andy Rindos,Andy Rindos,320
Yuto Jumonji,Yuto Jumonji,321
Liping Lu,Liping Lu,322
Chunhui Yang,Chunhui Yang,323
Dong Li,Dong Li,324
Shiqing Jia,Shiqing Jia,325
Chunyan Hou,Chunyan Hou,326
Jinsong Wang,Jinsong Wang,327
Xiaodan Li,Xiaodan Li,328
Huihong He,Huihong He,329
Qiang Wang,Qiang Wang,330
Hong Zhang,Hong Zhang,331
Xu Zhang,Xu Zhang,332
Lei Zhu,Lei Zhu,333
Lei Wang,Lei Wang,334
Zijiang Yang,Zijiang Yang,335
Jing Zhao,Jing Zhao,336
Yunlong Lou,Yunlong Lou,337
J. Alonso,Javier Alonso,338
Javier Alonso,Javier Alonso,338
Pengfei Chen,Pengfei Chen,339
Xinyi Li,Xinyi Li,340
Di Hou,Di Hou,341
Michael Lyu,Michael R. Lyu,342
Michael R. Lyu,Michael R. Lyu,342
Jian-Feng Zhao,Jian-Feng Zhao,343
Mohamed Escheikh,Mohamed Escheikh,344
Zayneb Tayachi,Zayneb Tayachi,345
Kamel Barkaoui,Kamel Barkaoui,346
Guilherme O. de Sena,Guilherme O. de Sena,347
Xiaolin Changa,Xiaolin Changa,348
Chen Chen,Chen Chen,349
Kai Shi,Kai Shi,350
Francesco Fucci,Francesco Fucci,351
Vidhyashree Nagaraju,Vidhyashree Nagaraju,352
Veeresh Varad Basavaraj,Veeresh Varad Basavaraj,353
Lance Fiondella,Lance Fiondella,354
Xinhong Hei,Xinhong Hei,355
K. Kourai,Kenichi Kourai,356
Kenichi Kourai,Kenichi Kourai,356
Hiroki Ooba,Hiroki Ooba,357
Moona Yakhchi,Moona Yakhchi,358
Mahdi Fazeli,Mahdi Fazeli,359
Amir Akhavan Bitaraf,Amir Akhavan Bitaraf,360
Ahmad Patooqhy,Ahmad Patooqhy,361
Madhu Jain,Madhu Jain,362
N.A. Preeti,N.A. Preeti,363
Huaming Wu,Huaming Wu,364
K. Wolter,Katinka Wolter,365
Katinka Wolter,Katinka Wolter,365
Biju R Mohan,Biju R Mohan,366
G Ram Mohana Reddy,G Ram Mohana Reddy,367
Jiantao Zhou,Jiantao Zhou,368
Rajkumar Buyya,Rajkumar Buyya,369
Yang Zhao,Yang Zhao,370
Yiqing Wu,Yiqing Wu,371
Jinghe An,Jinghe An,372
Sen Wang,Sen Wang,373
S. Malefaki,Sonia Malefaki,374
Sonia Malefaki,Sonia Malefaki,374
Jiulong Zhang,Jiulong Zhang,375
Liansheng Sui,Liansheng Sui,376
K. Yamamoto,K. Yamamoto,377
Jian Xu,Jian Xu,378
Xuefeng Li,Xuefeng Li,379
Pengfei Zheng,Pengfei Zheng,380
Yangfan Zhou,Yangfan Zhou,381
Jianfeng Zhan,Jianfeng Zhan,382
M. Grottke,Michael Grottke,383
Michael Grottke,Michael Grottke,383
Menghui Yang,Menghui Yang,384
Geyong Min,Geyong Min,385
Weikang Yang,Weikang Yang,386
Zituo Li,Zituo Li,387
Yuliang Jin,Yuliang Jin,388
"Alves, Vandi","Alves, Vandi",389
Vandi Alves,"Alves, Vandi",389
"Souza, F. Vieira de","Souza, F. Vieira de",390
Victor F. Nicola,Victor F. Nicola,391
Chapram Sudhakar,Chapram Sudhakar,392
Ishan Shah,Ishan Shah,393
T. Ramesh,T. Ramesh,394
Wang-wen Wu,Wang-wen Wu,395
Chao-yi Ma,Chao-yi Ma,396
Cheng-Hong Wang,Cheng-Hong Wang,397
Qiushi Wang,Qiushi Wang,398
Lifeng Liu,Lifeng Liu,399
Diego Elias,Diego Elias,400
Felipe Alencar,Felipe Alencar,401
Matheus Santana,Matheus Santana,402
Stenio Fernandes,Stenio Fernandes,403
Dong Seong Kim,Dong Seong Kim,404
Dong-Seong Kim,Dong Seong Kim,404
Benjamin Schleich,Benjamin Schleich,405
E. Vicente,Elder Vicente,406
Elder Vicente,Elder Vicente,406
A. Maria,A. Maria,407
Dario Bruneo,Dario Bruneo,408
Salvatore Distefano,Salvatore Distefano,409
Francesco Longo,Francesco Longo,410
A. Puliafito,Antonio Puliafito,411
Antonio Puliafito,Antonio Puliafito,411
Marco Scarpa,Marco Scarpa,412
R. Agepati,R. Agepati,413
N. Gundala,N. Gundala,414
S. V. Amari,S. V. Amari,415
